datetime,open,high,low,close
2026-08-08 08:00:00+00:00,4342.26798,4342.46356,4342.20854,4342.34614
2026-08-08 08:05:00+00:00,4342.27364,4342.41865,4342.25722,4342.34952
2026-08-08 08:10:00+00:00,4342.2645,4342.45547,4342.19886,4342.25019
2026-08-08 08:15:00+00:00,4342.26044,4342.39048,4342.23993,4342.24489
2026-08-08 08:20:00+00:00,4342.26044,4342.45351,4342.19625,4342.3376
2026-08-08 08:25:00+00:00,4342.25941,4342.41853,4342.25941,4342.34748
2026-08-08 08:30:00+00:00,4342.26259,4342.45602,4342.19861,4342.24799
2026-08-08 08:35:00+00:00,4342.26233,4342.38925,4342.23366,4342.25075
2026-08-08 08:40:00+00:00,4342.26233,4342.45704,4342.19996,4342.34375
2026-08-08 08:45:00+00:00,4342.26233,4342.42517,4342.26028,4342.34599
2026-08-08 08:50:00+00:00,4342.26257,4342.4536,4342.19553,4342.2423
2026-08-08 08:55:00+00:00,4342.26074,4342.39934,4342.22416,4342.25524
2026-08-08 09:00:00+00:00,4342.2621,4342.45959,4342.20847,4342.35028
2026-08-08 09:05:00+00:00,4342.26361,4342.43384,4342.25691,4342.34714
2026-08-08 09:10:00+00:00,4342.27031,4342.45817,4342.201,4342.24475
2026-08-08 09:15:00+00:00,4342.26641,4342.41373,4342.22341,4342.33106
2026-08-08 09:20:00+00:00,4342.26946,4342.46122,4342.20847,4342.35408
2026-08-08 09:25:00+00:00,4342.26546,4342.44206,4342.24995,4342.34545
2026-08-08 09:30:00+00:00,4342.27025,4342.46279,4342.20176,4342.2418
2026-08-08 09:35:00+00:00,4342.26676,4342.42433,4342.21749,4342.3255
2026-08-08 09:40:00+00:00,4342.26952,4342.45995,4342.20623,4342.35688
2026-08-08 09:45:00+00:00,4342.26542,4342.44767,4342.24157,4342.34366
2026-08-08 09:50:00+00:00,4342.27019,4342.46452,4342.20353,4342.23921
2026-08-08 09:55:00+00:00,4342.26679,4342.43235,4342.21233,4342.3252
2026-08-08 10:00:00+00:00,4342.26958,4342.46133,4342.20503,4342.363
2026-08-08 10:05:00+00:00,4342.26987,4342.45237,4342.23393,4342.3418
2026-08-08 10:10:00+00:00,4342.27013,4342.46525,4342.20629,4342.2371
2026-08-08 10:15:00+00:00,4342.26681,4342.43962,4342.2081,4342.32709
2026-08-08 10:20:00+00:00,4342.26964,4342.45442,4342.20478,4342.36111
2026-08-08 10:25:00+00:00,4342.26538,4342.45613,4342.22707,4342.33988
2026-08-08 10:30:00+00:00,4342.27007,4342.46496,4342.21004,4342.23546
2026-08-08 10:35:00+00:00,4342.26683,4342.44606,4342.20483,4342.32904
